"term","std.error","estimate","p.value"
"(Intercept)",0.0612171263456365,-2.48411531537259,2.94953402760668e-306
"CountryAngola",1.2420034534059,-0.776151173512979,0.53205671121095
"CountryArgentina",1.24173973991756,0.301498550313443,0.808169028092397
"CountryArmenia",1.24261760996894,0.605383724050993,0.626151949599271
"CountryAustralia",0.123499947985482,-0.752236145284986,1.21763223831143e-09
"CountryAustria",0.5557982366149,-0.0907468631455824,0.870310937677869
"CountryBelarus",0.250448264651956,0.0614762823873817,0.806107814545408
"CountryBelgium",0.171308840532569,-0.14565794217151,0.395223767358815
"CountryBhutan",0.556475383471378,-0.805437861210722,0.147858227447876
"CountryBrazil",0.879386274198919,-0.299932842234908,0.733066626926457
"CountryBulgaria",1.24069890532147,-0.849367892757352,0.493639710029073
"CountryCabo Verde",0.883387885772651,-1.54574169912521,0.0802243219512826
"CountryCanada",0.0792227603218424,0.385163086113653,1.20379785025327e-06
"CountryCaribbean",1.24194422467533,-4.58787298547348,0.000223332465221072
"CountryChile",0.878650669587499,0.313572197557145,0.721199251137493
"CountryChina",0.440952346286495,-0.929162827326146,0.0351588392314818
"CountryCuba",0.622613437480692,-2.21187856412412,0.000385471329184212
"CountryCyprus",0.877678736790891,0.943113357603208,0.282633082721838
"CountryDenmark",0.162465308065699,-0.428472779840888,0.00838571558962291
"CountryEcuador",1.24167260065858,-1.37049141503728,0.269763388580636
"CountryEstonia",0.304686987269445,0.119919427340401,0.693908398841645
"CountryFinland",1.24069890532147,0.150632107242626,0.903372552611259
"CountryFrance",0.16190658017119,-0.870736318630483,7.92015501954173e-08
"CountryGermany",0.470525276176141,-1.59107250300999,0.000727224015066609
"CountryGreece",0.175010317878706,0.137571419290097,0.431865111484155
"CountryGuinea",1.24198259092062,-2.91835562338581,0.0188295336583382
"CountryGuinea-Bissau",0.258440079958809,-1.2800764985094,7.57735330961796e-07
"CountryHungary",0.621402440987324,-0.740436918020226,0.233498719277572
"CountryIceland",0.55558793484202,-0.480683644229887,0.386986923760631
"CountryIndia",0.272613280644732,-0.875854310068798,0.00132388197634031
"CountryIndonesia",0.55640746644884,-1.96097417675776,0.000428829010664132
"CountryIreland",0.203123107916798,1.03557661845399,3.57111967254104e-07
"CountryItaly",0.237454338285467,-3.84208083974701,2.98963282574289e-57
"CountryIvory Coast",0.878994276093014,-1.33173995063908,0.129825645008369
"CountryJamaica",0.878698536896367,-1.8677235777829,0.0335955365060691
"CountryJapan",0.0825715738129833,-0.235204469724673,0.0044130073322983
"CountryLatvia",0.393854856175415,0.452462506621003,0.250698535208261
"CountryMalaysia",0.879150139386093,-1.68900482749096,0.0547734418670765
"CountryMalta",0.281121812302476,-1.63255548169324,6.79481272341202e-09
"CountryMorocco",0.717064883515151,-1.77525285827212,0.0133339591360969
"CountryNetherlands",0.158426069662415,-0.888664812381366,2.15511961061034e-08
"CountryNew Zealand",0.0709615457048922,-0.650351503026361,7.43025656877681e-20
"CountryNorway",0.260792803363613,-0.0970135106963177,0.709914729885388
"CountryPakistan",0.333338225731212,-0.550147437004061,0.0989285671688825
"CountryPhilipines",1.24069890532147,-0.849367892757363,0.493639710029068
"CountryPhilippines",0.346002090740574,-1.49018901729479,1.69169562127339e-05
"CountryPoland",0.218089343474276,-0.843695877762935,0.000111048843090961
"CountryPortugal",0.130564323218112,-0.521774152632225,6.53892814714684e-05
"CountryRomania",1.24198259092062,-1.44191757944282,0.245712579709066
"CountryRussia",0.393681156852375,0.126715205488184,0.747564392502325
"CountrySaudi Arabia",1.24069890532147,-2.81515217741945,0.023316055958606
"CountryScotland",0.878698536896367,-0.0827957736174254,0.924934335610633
"CountrySlovakia",0.469976977811353,0.0360265345576737,0.938900715956026
"CountrySlovenia",0.255152086869315,-0.448369807631667,0.0789419541354193
"CountrySouth Africa",0.717179637699679,-1.51350282618635,0.0348839756473301
"CountrySpain",0.115971137740579,-0.18742527322169,0.106136077509838
"CountrySweden",0.171062637257047,-0.478409936859279,0.00518517180382624
"CountryTanzania",0.879054627753703,-1.87049141503728,0.0334052293415502
"CountryThailand",0.255691836768008,-1.53337061325563,2.17117947050823e-09
"CountryThe Gambia",0.557494427509549,-1.70329925706662,0.00226196064725224
"CountryTurkey",0.62184838537257,-1.2364461693185,0.0468357049978041
"CountryUganda",1.24344270523332,-1.92472049443328,0.12171889740832
"CountryUK",0.0715268521568667,-0.559900043965148,6.16931199847356e-15
"CountryUnmapped",1.24152391275787,1.18783255126154,0.338743978593753
"CountryVietnam",0.507825647907079,-0.338083144586716,0.505607922156576
"MtrR_39T",0.0643983029078809,-0.0397513898466749,0.53708592243857
"MtrR_39Unmapped",0.289569152433556,0.169394692704725,0.558585177848604
"MtrR_45D",0.0633934453853997,0.296282764111047,3.04613016708246e-06
"MtrR_45Unmapped",0.359443496882195,0.350181625168555,0.329994350466393
"mtr_promoter-",0.0587446596522118,1.33348320812995,5.48793381009026e-108
"mtr_promoterG",1.24168238847947,1.48411531537259,0.23205530049137
"mtr_promoterUnmapped",0.185983471157364,1.00303466487384,7.28545029989522e-08
"mtrRtruncated",0.0792421939555583,0.246899771176939,0.00184647817102095
"mtrRUnmapped",1.30619120831791,-3.14185137132672,0.0161977115037891
"Mosaic_Mtr_BAPS-2147483648",0.458072481278165,0.165758520153359,0.717473293756657
"Mosaic_Mtr_BAPS1",0.0839005142323578,1.22236815490583,5.34274750457368e-47
"Mosaic_Mtr_BAPS2",0.328264779378582,1.88546989065956,9.88219141235284e-09
"Mosaic_Mtr_BAPS3",0.386499299920347,2.05982185407604,1.03430409705855e-07
"Mosaic_Mtr_BAPS4",0.319081970735151,2.52662558880514,3.01988452225137e-15
"Mosaic_Mtr_BAPS5",0.416904555280367,1.02976129451004,0.0135481887301997
"Mosaic_Mtr_BAPS6",0.406488748209136,1.68964128877463,3.29032491860826e-05
"Mosaic_Mtr_BAPS7",0.654619519834751,0.0154781239293722,0.981137277759107
"Mosaic_Mtr_BAPS8",0.299754877385944,0.992633249489948,0.000935486426708962
"Mosaic_Mtr_BAPS9",0.0600640043860243,-0.111177554252214,0.0642384811867383
"Mosaic_Mtr_BAPS10",0.0749765842251588,-0.517197085009541,6.01680895150226e-12
"Mosaic_Mtr_BAPS12",0.284703373590851,1.42012666646722,6.33201322358834e-07
"rRNA23S_2059",0.0504044120024237,2.50953560407557,0
"rRNA23S_2611",0.0208053128527346,1.12286775263584,0
"MtrCLOF",0.0999791995559324,-2.58279317930593,3.65403465685016e-137
